County,Sale Date & Time,Bid Amount,State Code,Court SP#,Case Number,Address,Book Page
Pender,05/30/17  11:30AM,Not Available Yet,NC,17 SP 55,16-04595-FC01,"317 Cottle Acres Road   Burgaw, North Carolina 28425",4284/0291
Macon,05/19/17  10:00AM,Not Available Yet,NC,16 SP 124,15-15468-FC02,"355 Hickory Knob Road and .59 acre parcel adjacent to 355 Hickory Knob Road   Franklin, North Carolina 28734",Y-30/480
Cumberland,05/10/17  10:00AM,Not Available Yet,NC,16 SP 528,16-04716-FC01,"515 Donovan Street   Fayetteville, North Carolina 28301",08579/0124
Mecklenburg,05/25/17  11:00AM,Not Available Yet,NC,17 SP 847,16-04739-FC01,"2817 Granstark Court   Charlotte, North Carolina 28216",25650/641
Rockingham,06/21/17  10:00AM,Not Available Yet,NC,16 SP 258,16-04862-FC01,"150 Lake Lemar Road   Reidsville, North Carolina 27320",917/333
Johnston,06/27/17  12:00PM,Not Available Yet,NC,16 SP 220,16-04947-FC01,"312 McColl Drive   Garner, North Carolina 27529",3002/105
Alexander,05/19/17  10:00AM,Not Available Yet,NC,16 SP 60,16-05079-FC01,"118 Starmount Lane   Taylorsville, North Carolina 28681",573/1731
Currituck,05/31/17  10:00AM,Not Available Yet,NC,16 SP 71,09-19383-FC03,"472 Island Lead Road   Corolla, North Carolina 27927",699/847
Union,06/06/17  12:30PM,Not Available Yet,NC,16 SP 258,16-05312-FC01,"3518 Lawyers Road East   Monroe, North Carolina 28110",4187/700
Lee,06/20/17  10:00AM,Not Available Yet,NC,16 SP 116,13-03150-FC01,"3027 Carrington Lane   Sanford, North Carolina 27330",1297/847
Mecklenburg,05/12/17  11:00AM,Not Available Yet,NC,16 SP 1481,08-10246-FC05,"1328 Level Creek Lane   Charlotte, North Carolina 28214",19107/921
Lee,05/31/17  10:00AM,Not Available Yet,NC,16 SP 148,16-05965-FC01,"1001 Hawkins Avenue   Sanford, North Carolina 27330",01240/0888
Craven,05/26/17  11:00AM,Not Available Yet,NC,15 SP 329,16-06460-FC01,"1309 Shellbark Court   Havelock, North Carolina 28532",2866/448
Onslow,05/09/17  10:00AM,Not Available Yet,NC,15 SP 596,16-06505-FC01,"117 Hills Lorough Loop   Jacksonville, North Carolina 28546",3269/520
Mecklenburg,06/29/17  12:00PM,Not Available Yet,NC,13 SP 1605,16-06561-FC01,"7924 Briardale Drive   Charlotte, North Carolina 28212",24454/366
Iredell,06/01/17  11:00AM,Not Available Yet,NC,17 SP 133,16-06696-FC01,"109 Coronilla Road   Mooresville, North Carolina 28117",2031/1522
Wake,05/22/17  10:00AM,Not Available Yet,NC,16 SP 2563,15-24746-FC01,"2500 Amy Court   Garner, North Carolina 27529",008638/00088
Guilford,05/16/17   2:00PM,Not Available Yet,NC,16 SP 1079,16-07029-FC01,"3203 Winchester Drive   Greensboro, North Carolina 27406",6076/0341
Burke,05/23/17  10:00AM,Not Available Yet,NC,16 SP 168,16-07273-FC01,"111 Woodbine Terrace   Morganton, North Carolina 28655",1580/538
Nash,05/24/17  10:00AM,Not Available Yet,NC,16 SP 158,16-07410-FC01,"315 Wilder Drive   Spring Hope, North Carolina 27882",2285/623
Edgecombe,06/23/17  10:00AM,Not Available Yet,NC,17 SP 43,15-16558-FC01,"228 North Glendale Drive   Rocky Mount, North Carolina 27801",1352/0867
Pitt,05/30/17  10:00AM,Not Available Yet,NC,16 SP 299,16-07846-FC01,"3608 Coventry Court   Greenville, North Carolina 27858",2205/173
Henderson,05/30/17  11:00AM,Not Available Yet,NC,16 SP 162,16-08054-FC01,"249 Meadow Pathway Drive   Fletcher, North Carolina 28732",1585/496
Catawba,05/31/17   2:00PM,Not Available Yet,NC,16 SP 417,16-08065-FC01,"1825 McCombs Street   Newton, North Carolina 28658",1951/904
Gaston,05/24/17  10:00AM,Not Available Yet,NC,16 SP 936,16-08101-FC01,"2706 Lowell Bethesda Road   Gastonia, North Carolina 28056",4639/1523
Guilford,06/13/17   2:00PM,Not Available Yet,NC,16 SP 1194,08-18963-FC03,"7217-A Olmstead Drive    Burlington, North Carolina 27215",R 6671/613
Cumberland,05/17/17  10:00AM,Not Available Yet,NC,16 SP 1168,16-08200-FC01,"540 Deerpath Drive   Fayetteville, North Carolina 28311",7297/451
Burke,05/23/17  10:00AM,Not Available Yet,NC,16 SP 187,08-13676-FC04,"1857 Zion Road   Morganton, North Carolina 28655",1463/492
Mecklenburg,06/14/17  12:00PM,Not Available Yet,NC,16 SP 2068,16-08438-FC01,"823 Cattaloochee Lane   Huntersville, North Carolina 28078",23378/962
Edgecombe,05/26/17  10:00AM,Not Available Yet,NC,16 SP 94,10-28034-FC01,"320 Rouse Road   Rocky Mount, North Carolina 27801",1511/66
Cumberland,06/14/17  10:00AM,Not Available Yet,NC,16 SP 948,16-09007-FC01,"807 Amye Street   Fayetteville, North Carolina 28301",6183/324
Wayne,05/25/17  10:00AM,Not Available Yet,NC,16 SP 197,12-11863-FC03,"215 Bunche Drive   Goldsboro, North Carolina 27530",2495/629
Camden,05/16/17  10:00AM,Not Available Yet,NC,16 SP 25,10-27828-FC06,"604 NC Highway 343 South   Camden, North Carolina 27921",247/530
Wayne,06/15/17  10:00AM,Not Available Yet,NC,16 SP 203,13-28311-FC02,"111 Oak Knoll Drive   Goldsboro, North Carolina 27530",1932/714
